Name,Budget,Begin,End
지역기반환경보건정책지원방안연구ⅡCARE프로그램을중심으로 ,49747,,
기후환경정책연구,884000,,
해안지형특성을감안한온배수의 해양환경변화저감방안수립용역,768375,‘14-12-15,‘17-12-14
랜덤워크를이용한생태네트워크변화모의예측방안연구Ⅱ,50353,,
지구환경정보센터운영,150000,,
수자원개발사업생태환경서식적합도지수및복원가이드라인개발 용역3차년도,95168,‘15-03-20,‘16-05-02
도시의기후회복력확보를위한공간단위별평가체계및모형개발Ⅱ,50492,,
국토환경정보시스템운영관리구국토환경정보센터운영,128000,,
화학사고의잠재적토양지하수오염영향을고려한사전관리체계개발,330000,‘15-04-01,‘16-03-31
중국의일대일로대응유라시아지역환경전략연구,50000,,
사이버환경정책교육원운영 ,300000,,
제2차물환경관리기본계획수립을위한2025물환경비전포럼운영,226130,'15-03-30,‘16-01-29
사물인터넷IoT을활용한스마트물환경관리방안및정책기반마련연구,50043,,
국가리스크관리를위한기후변화적응역량구축․평가,300000,,
국내능선축GIS기반통합관리시스템개발,150000,‘15-04-01,‘16-03-31
생태계서비스기반의자연자본지속가능성지수개발연구Ⅰ,30000,,
환경평가모니터링사업,448000,,
기후변화에따른건강영향평가적응기술및정책지원시스템개발,330000,‘15-04-01,‘16-03-31
지중환경관리를위한제도개선방안연구Ⅱ,26197,,
온실가스감축정책평가를위한환경경제모형개발운용,200000,,
환경재난재해의조기감지를위한다형영상및복합센서데이터기반의 분석예측기술개발,100000,‘15-03-01,‘16-02-28
화학물질관리법내화학사고정책의개선방안및산업계지원방안연구Ⅰ,30950,,
동아시아환경공동체발전전략개발및협력사업,340000,,
저탄소기후변화적응사회를위한사회경제변화시나리오개발,180000,‘15-04-01,‘16-03-31
교통환경정책수립을위한대기환경개선효과추정방안연구도로이동오염원을중심으로,29541,,
물환경서비스와물인프라의지속가능성평가사업,148000,,
LID기반물순환도시조성을위한계획설계통합모델및적용기술 개발4차년도,60000,‘15-03-01,‘16-02-29
기후대기환경정책에활용하기위한건강위해성평가표준안연구,29778,,
빅데이터를이용한대기오염의건강영향평가및피해비용추정,170000,,
Post2020신기후체제협상적응의제대응방안연구,49820,‘15-04-15,‘16-02-17
사회적투자수익률SROI을고려한물환경인프라시설투자방향연구,30868,,
샛강관리및이용활성화방안연구,200000,,
자연재해발생항목의시공간상관관계분석및융합을통한시계열피해도 작성기술개발극단적기후변화에따른도시재해를중심으로,45630,‘15-05-01,‘16-04-30
폐자원흐름분석을통한전기전자제품의upcycling활성화방안,30663,,
생물다양성협약이행지원프로그램기획운영,118000,,
2차대기환경개선종합계획수립,90900,‘15-04-28,‘16-04-25
자원순환사회전환촉진을위한재활용산업활성화방안,30194,,
환경평가지원을위한지역환경현황분석시스템구축및운영 ,350000,,
HAPs비산배출저감시설관리기준VI및세부이행지침마련연구,103630,‘15-04-29,‘16-01-29
공간정보를활용한재해폐기물성상별최적관리방안,29991,,
환경경제통합분석을위한환경가치종합연구,400000,,
한국형상하향식온실가스통합감축시스템개발,977000,‘15-05-01,‘16-04-30
국가및지역미래성장동력에대한환경성분석및환경영향평가대비방안연구,29648,,
원전사고대응재생계획수립방안연구후쿠시마원전사고의중장기모니터링에기반하여,150000,,
부문별기후변화영향및취약성통합평가모형기반구축및활용기술개발,1467500,‘15-05-01,‘16-04-30
기후변화적응을고려한지역자원관리방안Ⅱ,29566,,
녹색경제협동연구,568000,,
수상태양광환경협의체운영및환경모니터링용역,163400,‘15-05-12,‘16-05-10
기후변화적응정책지원을위한토지이용통합모델개발Ⅱ,30824,,
농촌지역환경복지증진을위한가축매몰지피해관리방안연구,140000,,
Post2015개발의제의효과적이행을위한기반구축연구,250000,‘15-05-15,‘16-05-15
정부30기반지역기피시설주민수용성평가방안Ⅱ,29991,,
국제환경평가교류협력사업,250000,,
적응대책수립지원을위한영향및적응평가기술개발,256000,‘15-05-01,‘16-04-30
ICT발전트렌드에대응하는공간정보의환경이슈적용체계구축,29995,,
KEI백업시스템등정보보안인프라확충,100000,,
토양의복합적특성을고려한환경영향평가기술개발,280000,‘15-04-01,‘16-03-31
북한환경정보구축및활용방안연구Ⅱ접근불능지역의보전지역설정을위한환경공간정보통합분석방안연구,31159,,
KEI정보인프라시스템유지보수,200000,,
Post2020신기후체제의순환적감축상향구조설정방안연구,45320,‘15-06-02,‘16-03-30
환경영향평가서검토 ,77000,,
환경오염도측정자료의환경감시업무활용체계구축에관한연구,63370,‘15-06-02,‘16-02-29
전략환경영향평가검토,417261,,
사회적혁신과정을이용한기후변화적응적정기술의발굴및적용 녹색기반시설을이용한계획기법을중심으로,45630,‘15-06-01,‘16-05-31
지속가능발전연구기관네트워크NISD운영 ,125291,,
열병합발전및폐가스폐열할당방식선진화방안마련,32545,‘15-06-19,‘16-02-18
수시연구사업,143129,,
통일대비북한의환경문제진단및환경개선을위한남북협력방안마련연구,108390,‘15-06-25,‘16-03-22
직류송전선로환경영향평가방안연구용역,150000,‘15-06-26,‘16-01-21
다중위성정보를활용한탄소플럭스감시기법고도화,77500,‘15-05-01,‘16-04-30
자원순환사회전환을위한중장기전략마련연구Ⅰ,90400,‘15-07-07,‘16-03-10
한중환경협력확대를위한중국환경관리정책및체계분석연구,44850,‘15-07-08,‘16-02-26
충북생물다양성전략수립,159894,‘15-07-28,‘17-01-27
