Year,총배출량,총배출량 증감률
null,null,null
1990,292097.82,null
1991,315341.45,7.957481503970144
1992,343337.58,8.878036807403532
1993,378532.87,10.25092854676729
1994,403541.17,6.606638942610185
1995,433757.32,7.487749019511448
1996,470241.17,8.411120301093703
1997,501875.15,6.7271821393265165
1998,431387.62,-14.044833660323693
1999,469368.62,8.804378762654338
2000,502681.46,7.097372636457893
2001,515954.97,2.6405409899143586
2002,538405.87,4.3513293417834555
2003,548761.78,1.9234392819677155
2004,557011.77,1.50338276109535
2005,561472.06,0.8007532767216099
2006,566997.81,0.9841540467748296
2007,580340.84,2.3532771669788124
2008,593991.22,2.3521315508314053
2009,598001.31,0.6751093054877283
2010,656048.82,9.706920207248357
2011,684703.4,4.367751168274348
2012,688035.33,0.48662384325825386
2013,697308.8,1.347818868545615
2014,692100.73,-0.7468814390410768
2015,692575.95,0.06866341551178136
2016,693612.45,0.1496586764238637
2017,710743.39,2.469814375448431
2018,727045.17,2.293623863318662
2019,701370.42,-3.53138306386108
