Year,분야,분야별 배출량
1990,에너지,240294.48
1990,농업,20971.7
1990,산업공정,20445.1
1990,간접배출량,36575.25
1990,폐기물,10386.54
1990,LULUCF,-37673.35
1991,에너지,258113.19
1991,산업공정,24351.02
1991,폐기물,11638.88
1991,농업,21238.36
1991,LULUCF,-33462.34
1991,간접배출량,42684.31
1992,폐기물,12745.91
1992,농업,21640.67
1992,간접배출량,50111.95
1992,에너지,278995.63
1992,LULUCF,-32675.17
1992,산업공정,29955.36
1993,폐기물,13502.15
1993,산업공정,34422.52
1993,농업,22108.38
1993,에너지,308499.81
1993,LULUCF,-30868.48
1993,간접배출량,56338.83
1994,에너지,327799.68
1994,LULUCF,-33096.5
1994,농업,22554.07
1994,폐기물,14444.89
1994,산업공정,38742.54
1994,간접배출량,71011.11
1995,폐기물,15788.84
1995,산업공정,43147.15
1995,에너지,352000.68
1995,간접배출량,78688.03
1995,LULUCF,-31297.37
1995,농업,22820.65
1996,폐기물,16554.31
1996,산업공정,44771.01
1996,LULUCF,-34722.08
1996,간접배출량,95316.81
1996,에너지,385582.11
1996,농업,23333.73
1997,에너지,411617.55
1997,간접배출량,107294.3
1997,LULUCF,-39499.2
1997,폐기물,17271.93
1997,산업공정,49643.92
1997,농업,23341.75
1998,농업,23066.85
1998,LULUCF,-48060.96
1998,간접배출량,91114.03
1998,에너지,351493.31
1998,산업공정,40765.69
1998,폐기물,16061.76
1999,농업,21941.91
1999,산업공정,48423.79
1999,간접배출량,100604.47
1999,에너지,382112.78
1999,LULUCF,-55549.27
1999,폐기물,16890.14
2000,농업,21368.79
2000,에너지,411584.71
2000,산업공정,50869.86
2000,간접배출량,120214.74
2000,LULUCF,-58977.05
2000,폐기물,18858.11
2001,산업공정,49389
2001,에너지,425928.72
2001,LULUCF,-58408.99
2001,간접배출량,131396.33
2001,농업,20868.3
2001,폐기물,19768.94
2002,산업공정,53682.85
2002,에너지,445254.63
2002,LULUCF,-56130.84
2002,농업,20731.31
2002,간접배출량,140828.37
2002,폐기물,18737.07
2003,간접배출량,144871.87
2003,LULUCF,-55584.3
2003,에너지,452962.55
2003,산업공정,56488.92
2003,농업,20474
2003,폐기물,18836.3
2004,LULUCF,-56866.48
2004,폐기물,17708.69
2004,간접배출량,156494.42
2004,에너지,460070.52
2004,산업공정,58664.69
2004,농업,20567.85
2005,간접배출량,162906.15
2005,LULUCF,-54961.74
2005,산업공정,54561.95
2005,에너지,469372.51
2005,농업,20738.73
2005,폐기물,16798.87
2006,LULUCF,-56168.91
2006,산업공정,54323.08
2006,농업,20844.82
2006,에너지,474784.79
2006,간접배출량,170054.04
2006,폐기물,17045.13
2007,LULUCF,-56812.82
2007,산업공정,51060.68
2007,간접배출량,181313.09
2007,에너지,492405
2007,농업,21070.5
2007,폐기물,15804.65
2008,LULUCF,-57605.14
2008,산업공정,50709.58
2008,에너지,506555.02
2008,간접배출량,192998.14
2008,폐기물,15580.63
2008,농업,21145.99
2009,에너지,513041.68
2009,간접배출량,212377.71
2009,LULUCF,-57127.3
2009,산업공정,47777.91
2009,농업,21654.57
2009,폐기물,15527.15
2010,LULUCF,-54753.85
2010,산업공정,52936.17
2010,간접배출량,239287.62
2010,농업,22070.25
2010,에너지,565692.12
2010,폐기물,15350.29
2011,LULUCF,-53260.03
2011,산업공정,52908.4
2011,에너지,594655.14
2011,농업,21120.57
2011,간접배출량,246092.57
2011,폐기물,16019.3
2012,LULUCF,-48041.2
2012,에너지,596004.18
2012,산업공정,54423.23
2012,농업,21470.18
2012,간접배출량,249479.08
2012,폐기물,16137.74
2013,LULUCF,-43389.6
2013,산업공정,55062.35
2013,에너지,604524.98
2013,간접배출량,256140.34
2013,농업,21347.72
2013,폐기물,16373.74
2014,LULUCF,-44382.02
2014,산업공정,57907.56
2014,에너지,596943.43
2014,간접배출량,241712.32
2014,농업,21374.43
2014,폐기물,15875.31
2015,LULUCF,-45563.58
2015,산업공정,54496.99
2015,에너지,600256.43
2015,농업,20983.96
2015,간접배출량,242127.81
2015,폐기물,16838.56
2016,에너지,602213.66
2016,산업공정,53467.09
2016,LULUCF,-46541.19
2016,간접배출량,242482.44
2016,농업,20809.52
2016,폐기물,17122.19
2017,LULUCF,-42557.42
2017,산업공정,56453.36
2017,에너지,615604.56
2017,농업,20958.19
2017,간접배출량,251381.47
2017,폐기물,17727.29
2018,산업공정,55795.05
2018,에너지,632571.92
2018,LULUCF,-42086.21
2018,간접배출량,268355.62
2018,농업,21135.53
2018,폐기물,17542.68
2019,LULUCF,-39550.35
2019,산업공정,51994.08
2019,간접배출량,248745.78
2019,폐기물,16912.45
2019,농업,20964.73
2019,에너지,611499.14
