Section,Type,Index,Name,Method,Category,INPUT,OUTPUT,RELATION,ANALYSIS,PURPOSE,ETC
Water,Control,2,대도시지역의극한홍수로인한복합영향메커니즘분석(채여라),SystemAnal,Project,극한홍수keywords,극한홍수핵심변수/핵심변수원인변수,극한홍수keyword간인과관게,INTUITION,IMPULSERESPONSE,
Water,Treatment,6,물환경서비스와물인프라의지속가능성평가강형식,Econometrics,Project,지속가능성지수/지속가능성세부지수,지속가능성지수,상관관계,REGRESSION,CORRELATION,
Water,Treatment,6,물환경서비스와물인프라의지속가능성평가강형식,Econometrics,Project,요금현실화율/군집,지속가능성지표,군집별격차,ANOVA,CORRELATION,
Water,Treatment,6,물환경서비스와물인프라의지속가능성평가강형식,Econometrics,Project,요금현실화율/지자체구분,군집,군집,CLUSTER,CORRELATION,
Water,Treatment,8,사회적투자수익률을고려한물환경인프라시설투자방향연구(류재나.강형식),Scenario,Basic,비용/편익구성요소,비용/편익,선형관계식,SCENARIO,PREDICTION,
Water,Treatment,9,사회적투자수익률을고려한물환경인프라시설투자방향연구(류재나.강형식),Econometrics,Basic,설문조사결과,지불의사,잠재변수,LOGIT,PREDICTION,CVM
Water,Preparation,13,물이용지속성의평가와미래전망(김익제),Econometrics,Climate,지속성지표,군집,군집,CLUSTER,CORRELATION,
Water,Preparation,14,기후변화및사회경제적요인의동태적변화를고려한미래물수급관리정책마련1(류재나.김호정.김민아),SystemAnal,Climate,물수급관련인자/기후변화사회경제인자,물수급,연립비선형방정식,SYSTEMDYNAMICS,PREDICTION,
Waste,Treatment,15,공간정보를활용한재해폐기물성상별최적관리방안(조지혜),Scenario,Basic,부산시공간정보,최적경로/경로별폐기물배출량,선형관계식,SCENARIO,PREDICTION,
Waste,Treatment,17,나노폐기물의안전처리를위한관리전략수립연구(조지혜),Scenario,Policy,나노폐기물배출경로,배출량,선형관계식,SCENARIO,PREDICTION,
